import time: self [us] | cumulative | imported package
import time:       218 |        218 | winreg
import time:       515 |        515 |   _io
import time:        68 |         68 |   marshal
import time:       298 |        298 |   nt
import time:       640 |       1519 | _frozen_importlib_external
import time:       876 |        876 |   time
import time:       237 |       1113 | zipimport
import time:        88 |         88 |     _codecs
import time:       595 |        683 |   codecs
import time:      2785 |       2785 |   encodings.aliases
import time:      3211 |       6678 | encodings
import time:      1415 |       1415 | encodings.utf_8
import time:      1382 |       1382 | encodings.cp1252
import time:       101 |        101 | _signal
import time:        70 |         70 |     _abc
import time:       250 |        320 |   abc
import time:       314 |        633 | io
import time:        89 |         89 |       _stat
import time:       174 |        262 |     stat
import time:      1327 |       1327 |     _collections_abc
import time:        69 |         69 |       genericpath
import time:       166 |        166 |       _winapi
import time:       140 |        375 |     ntpath
import time:       435 |       2398 |   os
import time:       108 |        108 |   _sitebuiltins
import time:      1738 |       1738 |   encodings.utf_8_sig
import time:      4492 |       4492 |   _distutils_hack
import time:      1346 |       1346 |     pywin32_system32
import time:      2285 |       3630 |   pywin32_bootstrap
import time:       629 |        629 |   sitecustomize
import time:       535 |        535 |   usercustomize
import time:      4492 |      18018 | site
import time:      2186 |       2186 |         types
import time:       426 |        426 |           _operator
import time:      2200 |       2626 |         operator
import time:       481 |        481 |             itertools
import time:      1413 |       1413 |             keyword
import time:      1842 |       1842 |             reprlib
import time:       484 |        484 |             _collections
import time:      3917 |       8134 |           collections
import time:       167 |        167 |           _functools
import time:      2366 |      10666 |         functools
import time:      3593 |      19069 |       enum
import time:       186 |        186 |         _sre
import time:      1173 |       1173 |           re._constants
import time:      1479 |       2651 |         re._parser
import time:      1374 |       1374 |         re._casefix
import time:      2185 |       6396 |       re._compiler
import time:      1411 |       1411 |       copyreg
import time:      2522 |      29397 |     re
import time:      1235 |       1235 |       collections.abc
import time:      1320 |       1320 |           token
import time:       137 |        137 |           _tokenize
import time:      2670 |       4126 |         tokenize
import time:      1138 |       5263 |       linecache
import time:      3109 |       3109 |       textwrap
import time:      2049 |       2049 |       contextlib
import time:      2054 |      13709 |     traceback
import time:      1497 |       1497 |     warnings
import time:      1629 |       1629 |       _weakrefset
import time:      3475 |       5103 |     weakref
import time:       100 |        100 |       _string
import time:      1916 |       2016 |     string
import time:      2637 |       2637 |     threading
import time:       192 |        192 |     atexit
import time:      5270 |      59817 |   logging
import time:      1387 |       1387 |     __future__
import time:      1181 |       1181 |           numpy._utils._convertions
import time:       986 |       2167 |         numpy._utils
import time:      1578 |       3745 |       numpy._globals
import time:      1697 |       1697 |       numpy._expired_attrs_2_0
import time:      1042 |       1042 |       numpy.version
import time:       171 |        171 |         numpy._distributor_init_local
import time:       989 |       1159 |       numpy._distributor_init
import time:      1423 |       1423 |                 numpy._utils._inspect
import time:       249 |        249 |                     _datetime
import time:      1420 |       1668 |                   datetime
import time:       111 |        111 |                   math
import time:      1293 |       1293 |                   numpy.exceptions
import time:      1747 |       1747 |                   numpy._core._exceptions
import time:        98 |         98 |                       _contextvars
import time:      1042 |       1140 |                     contextvars
import time:      1165 |       2305 |                   numpy._core.printoptions
import time:      1082 |       1082 |                   numpy.dtypes
import time:     12433 |      20637 |                 numpy._core._multiarray_umath
import time:      1488 |      23547 |               numpy._core.overrides
import time:      2565 |      26111 |             numpy._core.multiarray
import time:      1931 |       1931 |             numpy._core.umath
import time:      1987 |       1987 |               numbers
import time:      2219 |       2219 |               numpy._core._string_helpers
import time:      1748 |       1748 |               numpy._core._type_aliases
import time:      1890 |       1890 |               numpy._core._dtype
import time:      1792 |       9634 |             numpy._core.numerictypes
import time:       227 |        227 |                         _struct
import time:      1570 |       1797 |                       struct
import time:      1463 |       1463 |                       _compat_pickle
import time:       245 |        245 |                       _pickle
import time:      3061 |       6564 |                     pickle
import time:      1644 |       8207 |                   numpy._core._methods
import time:      2266 |      10473 |                 numpy._core.fromnumeric
import time:      1409 |      11881 |               numpy._core.shape_base
import time:      3138 |       3138 |               numpy._core._ufunc_config
import time:      3160 |       3160 |               numpy._core.arrayprint
import time:      1141 |       1141 |               numpy._core._asarray
import time:      2366 |      21684 |             numpy._core.numeric
import time:      1362 |       1362 |             numpy._core.records
import time:       958 |        958 |             numpy._core.memmap
import time:      1527 |       1527 |             numpy._core.function_base
import time:      1237 |       1237 |             numpy._core._machar
import time:      1503 |       1503 |             numpy._core.getlimits
import time:      1274 |       1274 |             numpy._core.einsumfunc
import time:      2520 |       2520 |             numpy._core._add_newdocs
import time:      1340 |       1340 |             numpy._core._add_newdocs_scalars
import time:      1514 |       1514 |             numpy._core._dtype_ctypes
import time:       195 |        195 |                 _ast
import time:      3693 |       3888 |               ast
import time:      7664 |       7664 |                 _ctypes
import time:      1849 |       1849 |                 ctypes._endian
import time:      2749 |      12261 |               ctypes
import time:      2682 |      18830 |             numpy._core._internal
import time:      1469 |       1469 |             numpy._pytesttester
import time:      2456 |      95342 |           numpy._core
import time:        84 |      95425 |         numpy._core._multiarray_umath
import time:      1228 |      96653 |       numpy.__config__
import time:       831 |        831 |           numpy.lib._array_utils_impl
import time:      1394 |       2225 |         numpy.lib.array_utils
import time:       777 |        777 |         numpy.lib.introspect
import time:       934 |        934 |         numpy.lib.mixins
import time:      2765 |       2765 |                   _wmi
import time:      2397 |       5161 |                 platform
import time:      1770 |       6931 |               numpy.lib._utils_impl
import time:      1333 |       8263 |             numpy.lib.format
import time:      1353 |       1353 |             numpy.lib._datasource
import time:      1766 |       1766 |             numpy.lib._iotools
import time:      2049 |      13430 |           numpy.lib._npyio_impl
import time:       827 |      14256 |         numpy.lib.npyio
import time:       945 |        945 |               numpy.lib._ufunclike_impl
import time:      1265 |       2210 |             numpy.lib._type_check_impl
import time:      1211 |       3420 |           numpy.lib._scimath_impl
import time:      1153 |       4573 |         numpy.lib.scimath
import time:      1409 |       1409 |           numpy.lib._stride_tricks_impl
import time:      1055 |       2464 |         numpy.lib.stride_tricks
import time:      1182 |       1182 |                 numpy.linalg.linalg
import time:       117 |        117 |                     _typing
import time:      5483 |       5600 |                   typing
import time:      1713 |       1713 |                   numpy.lib._twodim_base_impl
import time:      1279 |       1279 |                   numpy.linalg._umath_linalg
import time:      1625 |       1625 |                     numpy._typing._nested_sequence
import time:      1798 |       1798 |                     numpy._typing._nbit_base
import time:      1414 |       1414 |                     numpy._typing._nbit
import time:      4054 |       4054 |                     numpy._typing._char_codes
import time:      1623 |       1623 |                     numpy._typing._scalars
import time:      1651 |       1651 |                     numpy._typing._shape
import time:      5562 |       5562 |                     numpy._typing._dtype_like
import time:      4564 |       4564 |                     numpy._typing._array_like
import time:      1385 |       1385 |                     numpy._typing._ufunc
import time:      1769 |      25441 |                   numpy._typing
import time:      4864 |      38895 |                 numpy.linalg._linalg
import time:      1261 |      41337 |               numpy.linalg
import time:      1891 |      43228 |             numpy.matrixlib.defmatrix
import time:      1515 |      44742 |           numpy.matrixlib
import time:      1390 |       1390 |             numpy.lib._histograms_impl
import time:      3271 |       4660 |           numpy.lib._function_base_impl
import time:      2096 |      51498 |         numpy.lib._index_tricks_impl
