import time: self [us] | cumulative | imported package
import time:       326 |        326 | winreg
import time:       289 |        289 |   _io
import time:        45 |         45 |   marshal
import time:       215 |        215 |   nt
import time:       494 |       1042 | _frozen_importlib_external
import time:       682 |        682 |   time
import time:       177 |        859 | zipimport
import time:        58 |         58 |     _codecs
import time:       401 |        459 |   codecs
import time:      2660 |       2660 |   encodings.aliases
import time:      3969 |       7087 | encodings
import time:       973 |        973 | encodings.utf_8
import time:      1198 |       1198 | encodings.cp1252
import time:        61 |         61 | _signal
import time:        34 |         34 |     _abc
import time:       130 |        164 |   abc
import time:       150 |        313 | io
import time:        54 |         54 |       _stat
import time:        64 |        118 |     stat
import time:       641 |        641 |     _collections_abc
import time:        35 |         35 |       genericpath
import time:        93 |         93 |       _winapi
import time:        70 |        198 |     ntpath
import time:       224 |       1180 |   os
import time:        53 |         53 |   _sitebuiltins
import time:      1252 |       1252 |   encodings.utf_8_sig
import time:      2526 |       2526 |   _distutils_hack
import time:      1309 |       1309 |     pywin32_system32
import time:      2360 |       3668 |   pywin32_bootstrap
import time:       309 |        309 |   sitecustomize
import time:       291 |        291 |   usercustomize
import time:     39572 |      48849 | site
import time:      1281 |       1281 |         types
import time:       107 |        107 |           _operator
import time:      1059 |       1166 |         operator
import time:       207 |        207 |             itertools
import time:       659 |        659 |             keyword
import time:       979 |        979 |             reprlib
import time:        92 |         92 |             _collections
import time:      1699 |       3635 |           collections
import time:        59 |         59 |           _functools
import time:      1595 |       5287 |         functools
import time:      2029 |       9762 |       enum
import time:       102 |        102 |         _sre
import time:      1331 |       1331 |           re._constants
import time:      1727 |       3057 |         re._parser
import time:       922 |        922 |         re._casefix
import time:      1229 |       5308 |       re._compiler
import time:       745 |        745 |       copyreg
import time:      1612 |      17426 |     re
import time:      1006 |       1006 |       collections.abc
import time:      1098 |       1098 |           token
import time:        65 |         65 |           _tokenize
import time:      2387 |       3548 |         tokenize
import time:      1349 |       4896 |       linecache
import time:      1744 |       1744 |       textwrap
import time:      1352 |       1352 |       contextlib
import time:      1934 |      10930 |     traceback
import time:      2810 |       2810 |     warnings
import time:      1646 |       1646 |       _weakrefset
import time:      2323 |       3969 |     weakref
import time:        56 |         56 |       _string
import time:      1587 |       1643 |     string
import time:      2026 |       2026 |     threading
import time:       262 |        262 |     atexit
import time:      4092 |      43154 |   logging
import time:       980 |        980 |     __future__
import time:       992 |        992 |           numpy._utils._convertions
import time:      1895 |       2887 |         numpy._utils
import time:      2095 |       4981 |       numpy._globals
import time:      1584 |       1584 |       numpy._expired_attrs_2_0
import time:       939 |        939 |       numpy.version
import time:        93 |         93 |         numpy._distributor_init_local
import time:      1208 |       1300 |       numpy._distributor_init
import time:      1091 |       1091 |                 numpy._utils._inspect
import time:       153 |        153 |                     _datetime
import time:       976 |       1128 |                   datetime
import time:       101 |        101 |                   math
import time:      1655 |       1655 |                   numpy.exceptions
import time:      1167 |       1167 |                   numpy._core._exceptions
import time:        56 |         56 |                       _contextvars
import time:       892 |        948 |                     contextvars
import time:      1001 |       1948 |                   numpy._core.printoptions
import time:      1968 |       1968 |                   numpy.dtypes
import time:     31485 |      39450 |                 numpy._core._multiarray_umath
import time:      1439 |      41979 |               numpy._core.overrides
import time:      2769 |      44748 |             numpy._core.multiarray
import time:      1247 |       1247 |             numpy._core.umath
import time:      1416 |       1416 |               numbers
import time:      1305 |       1305 |               numpy._core._string_helpers
import time:      1195 |       1195 |               numpy._core._type_aliases
import time:      1393 |       1393 |               numpy._core._dtype
import time:      1443 |       6750 |             numpy._core.numerictypes
import time:        97 |         97 |                         _struct
import time:      1000 |       1097 |                       struct
import time:      1240 |       1240 |                       _compat_pickle
import time:       370 |        370 |                       _pickle
import time:      2201 |       4908 |                     pickle
import time:      1327 |       6234 |                   numpy._core._methods
import time:      2101 |       8334 |                 numpy._core.fromnumeric
import time:      1551 |       9884 |               numpy._core.shape_base
import time:      1379 |       1379 |               numpy._core._ufunc_config
import time:      2491 |       2491 |               numpy._core.arrayprint
